> Task :compileJava
> Task :processResources UP-TO-DATE
> Task :classes
> Task :configJavafxRun

> Task :run
ID : 1070936919 | X:254.78171288683302 | Y:100.17942211455903 | Vx:300.0 | Vy:1.3250165116061003
ID : 1070936919 | X:257.014526186833 | Y:100.1948232242281 | Vx:300.0 | Vy:2.0692876116061005
ID : 1070936919 | X:262.024284086833 | Y:100.25726496211195 | Vx:300.0 | Vy:3.7392069116061006
ID : 1070936919 | X:265.335684686833 | Y:100.31072208429588 | Vx:300.0 | Vy:4.8430071116061
ID : 1070936919 | X:267.613761086833 | Y:100.35326414285386 | Vx:300.0 | Vy:5.602365911606101
ID : 1070936919 | X:270.845773286833 | Y:100.42522708483884 | Vx:300.0 | Vy:6.679703311606101
ID : 1070936919 | X:273.152837486833 | Y:100.48250937189817 | Vx:300.0 | Vy:7.448724711606101
ID : 1070936919 | X:276.325599086833 | Y:100.5724710378674 | Vx:300.0 | Vy:8.506311911606101
ID : 1070936919 | X:278.547074786833 | Y:100.64094287110123 | Vx:300.0 | Vy:9.246803811606101
ID : 1070936919 | X:281.95360178683296 | Y:100.75883496748517 | Vx:300.0 | Vy:10.382312811606102
ID : 1070936919 | X:284.17907738683294 | Y:100.84135662653804 | Vx:300.0 | Vy:11.124138011606103
ID : 1070936919 | X:288.3721506868329 | Y:101.01637311758817 | Vx:300.0 | Vy:12.521829111606102
ID : 1070936919 | X:290.3651238868329 | Y:101.10397195278723 | Vx:300.0 | Vy:13.186153511606102
ID : 1070936919 | X:293.1969438868329 | Y:101.2373515574807 | Vx:300.0 | Vy:14.130093511606102
ID : 1070936919 | X:297.6146073868329 | Y:101.46710905289476 | Vx:300.0 | Vy:15.602648011606103
ID : 1070936919 | X:300.50597828683294 | Y:101.6267747783975 | Vx:300.0 | Vy:16.566438311606102
ID : 1070936919 | X:302.46143858683297 | Y:101.7390068475943 | Vx:300.0 | Vy:17.2182584116061
ID : 1070936919 | X:305.52581138683297 | Y:101.92531781301327 | Vx:300.0 | Vy:18.239716011606102
ID : 1070936919 | X:307.87262588683296 | Y:102.07412140005012 | Vx:300.0 | Vy:19.021987511606103
ID : 1070936919 | X:311.827034186833 | Y:102.34223191215932 | Vx:300.0 | Vy:20.340123611606103
ID : 1070936919 | X:315.103146986833 | Y:102.57627917108267 | Vx:300.0 | Vy:21.432161211606104
ID : 1070936919 | X:319.247569886833 | Y:102.8914436825712 | Vx:300.0 | Vy:22.813635511606105
ID : 1070936919 | X:322.344943286833 | Y:103.13764453296214 | Vx:300.0 | Vy:23.846093311606104
ID : 1070936919 | X:325.49956718683296 | Y:103.39945344362627 | Vx:300.0 | Vy:24.897634611606104
ID : 1070936919 | X:327.55635338683294 | Y:103.57485089175727 | Vx:300.0 | Vy:25.583230011606105
ID : 1070936919 | X:332.4760101868329 | Y:104.02127884454335 | Vx:300.0 | Vy:27.223115611606104
ID : 1571396344 | X:606.3995119 | Y:150.5738160583031 | Vx:-300.0 | Vy:-177.13616107993843
ID : 1571396344 | X:597.5456473 | Y:145.43311845881246 | Vx:-300.0 | Vy:-174.18487287993844
ID : 1571396344 | X:591.5048773000001 | Y:141.9662947238703 | Vx:-300.0 | Vy:-172.17128287993845
ID : 1571396344 | X:585.9101878000001 | Y:138.79025688499436 | Vx:-300.0 | Vy:-170.30638637993846
ID : 1571396344 | X:578.0618221000001 | Y:134.40327515176676 | Vx:-300.0 | Vy:-167.69026447993846
ID : 1571396344 | X:572.3498188000001 | Y:131.24670287336383 | Vx:-300.0 | Vy:-165.78626337993848
ID : 1571396344 | X:566.9233684000001 | Y:128.28065127141488 | Vx:-300.0 | Vy:-163.9774465799385
ID : 1571396344 | X:561.2660032000001 | Y:125.22394558408995 | Vx:-300.0 | Vy:-162.0916581799385
ID : 1571396344 | X:555.1170445000001 | Y:121.94363998165153 | Vx:-300.0 | Vy:-160.04200527993848
ID : 1571396344 | X:547.0378762000001 | Y:117.7061445074753 | Vx:-300.0 | Vy:-157.34894917993847
ID : 1571396344 | X:540.9459934000001 | Y:114.55220780161632 | Vx:-300.0 | Vy:-155.31832157993847
ID : 1571396344 | X:534.9104362000002 | Y:111.46790792206447 | Vx:-300.0 | Vy:-153.30646917993846
ID : 1571396344 | X:529.0244809000002 | Y:108.49855169474421 | Vx:-300.0 | Vy:-151.34448407993847
ID : 1571396344 | X:522.9600232000001 | Y:105.4800083410795 | Vx:-300.0 | Vy:-149.32299817993848
ID : 1571396344 | X:513.4787386000002 | Y:100.86064526158879 | Vx:-300.0 | Vy:-146.16256997993847
ID : 1571396344 | X:506.21251720000015 | Y:97.37914436362449 | Vx:-300.0 | Vy:-143.74049617993848
ID : 1571396344 | X:498.99324640000015 | Y:93.97804788621973 | Vx:-300.0 | Vy:-141.33407257993846
ID : 1571396344 | X:492.3907201000001 | Y:90.91594517472721 | Vx:-300.0 | Vy:-139.13323047993848
ID : 1571396344 | X:486.20174860000014 | Y:88.08819914561388 | Vx:-300.0 | Vy:-137.07023997993846
ID : 1571396344 | X:480.23547970000016 | Y:85.40175762879564 | Vx:-300.0 | Vy:-135.08148367993846
ID : 1571396344 | X:471.5682046000002 | Y:81.58259820407177 | Vx:-300.0 | Vy:-132.19239197993846
ID : 1571396344 | X:465.91597690000015 | Y:79.12749062511382 | Vx:-300.0 | Vy:-130.30831607993846
ID : 1571396344 | X:459.95010790000015 | Y:76.57569569499675 | Vx:-300.0 | Vy:-128.31969307993847
ID : 1571396344 | X:454.41555670000014 | Y:74.24242405391654 | Vx:-300.0 | Vy:-126.47484267993848
ID : 1571396344 | X:448.1610718000001 | Y:71.64910583174951 | Vx:-300.0 | Vy:-124.39001437993848
ID : 1571396344 | X:442.21881580000013 | Y:69.22448191897362 | Vx:-300.0 | Vy:-122.40926237993848
ID : 1571396344 | X:436.06201960000016 | Y:66.7544369134753 | Vx:-300.0 | Vy:-120.35699697993849
ID : 1571396344 | X:429.63120790000016 | Y:64.22041000909141 | Vx:-300.0 | Vy:-118.21339307993848
ID : 1571396344 | X:422.38567420000015 | Y:61.42367710747109 | Vx:-300.0 | Vy:-115.79821517993848
ID : 1571396344 | X:416.36824210000015 | Y:59.14121688262521 | Vx:-300.0 | Vy:-113.79240447993848
ID : 1571396344 | X:410.1927334000001 | Y:56.84117127831903 | Vx:-300.0 | Vy:-111.73390157993849
